time,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,acc_x,acc_y,acc_z
0.295000,0.500000,0.710780,0.250000,0.000000,1.114413,0.000000,0.000000,0.949389,0.000000
0.300000,0.500000,0.716352,0.250000,0.000000,1.118836,0.000000,0.000000,0.884618,0.000000
0.305000,0.500000,0.721946,0.250000,0.000000,1.122942,0.000000,0.000000,0.821172,0.000000
0.310000,0.500000,0.727561,0.250000,0.000000,1.126737,0.000000,0.000000,0.759032,0.000000
0.315000,0.500000,0.733195,0.250000,0.000000,1.130228,0.000000,0.000000,0.698180,0.000000
0.320000,0.500000,0.738846,0.250000,0.000000,1.133421,0.000000,0.000000,0.638597,0.000000
0.325000,0.500000,0.744513,0.250000,0.000000,1.136322,0.000000,0.000000,0.580267,0.000000
0.330000,0.500000,0.750194,0.250000,0.000000,1.138938,0.000000,0.000000,0.523172,0.000000
0.335000,0.500000,0.755889,0.250000,0.000000,1.141274,0.000000,0.000000,0.467293,0.000000
0.340000,0.500000,0.761595,0.250000,0.000000,1.143338,0.000000,0.000000,0.412615,0.000000
0.345000,0.500000,0.767312,0.250000,0.000000,1.145133,0.000000,0.000000,0.359118,0.000000
0.350000,0.500000,0.773038,0.250000,0.000000,1.146667,0.000000,0.000000,0.306787,0.000000
0.355000,0.500000,0.778771,0.250000,0.000000,1.147945,0.000000,0.000000,0.255605,0.000000
0.360000,0.500000,0.784511,0.250000,0.000000,1.148973,0.000000,0.000000,0.205555,0.000000
0.365000,0.500000,0.790256,0.250000,0.000000,1.149756,0.000000,0.000000,0.156620,0.000000
0.370000,0.500000,0.796004,0.250000,0.000000,1.150300,0.000000,0.000000,0.108784,0.000000
0.375000,0.500000,0.801756,0.250000,0.000000,1.150610,0.000000,0.000000,0.062031,0.000000
0.380000,0.500000,0.807509,0.250000,0.000000,1.150692,0.000000,0.000000,0.016346,0.000000
0.385000,0.500000,0.813262,0.250000,0.000000,1.150550,0.000000,0.000000,-0.028289,0.000000
0.390000,0.500000,0.819015,0.250000,0.000000,1.150191,0.000000,0.000000,-0.071888,0.000000
0.395000,0.500000,0.824766,0.250000,0.000000,1.149619,0.000000,0.000000,-0.114467,0.000000
0.400000,0.500000,0.830514,0.250000,0.000000,1.148838,0.000000,0.000000,-0.156042,0.000000
0.405000,0.500000,0.836258,0.250000,0.000000,1.147855,0.000000,0.000000,-0.196627,0.000000
0.410000,0.500000,0.841998,0.250000,0.000000,1.146674,0.000000,0.000000,-0.236238,0.000000
0.415000,0.500000,0.847731,0.250000,0.000000,1.145300,0.000000,0.000000,-0.274889,0.000000
0.420000,0.500000,0.853458,0.250000,0.000000,1.143737,0.000000,0.000000,-0.312595,0.000000
0.425000,0.500000,0.859176,0.250000,0.000000,1.141990,0.000000,0.000000,-0.349371,0.000000
0.430000,0.500000,0.864886,0.250000,0.000000,1.140064,0.000000,0.000000,-0.385232,0.000000
0.435000,0.500000,0.870587,0.250000,0.000000,1.137963,0.000000,0.000000,-0.420190,0.000000
0.440000,0.500000,0.876276,0.250000,0.000000,1.135691,0.000000,0.000000,-0.454261,0.000000
0.445000,0.500000,0.881955,0.250000,0.000000,1.133254,0.000000,0.000000,-0.487459,0.000000
0.450000,0.500000,0.887621,0.250000,0.000000,1.130655,0.000000,0.000000,-0.519796,0.000000
0.455000,0.500000,0.893274,0.250000,0.000000,1.127899,0.000000,0.000000,-0.551288,0.000000
0.460000,0.500000,0.898914,0.250000,0.000000,1.124989,0.000000,0.000000,-0.581947,0.000000
0.465000,0.500000,0.904539,0.250000,0.000000,1.121930,0.000000,0.000000,-0.611786,0.000000
0.470000,0.500000,0.910148,0.250000,0.000000,1.118726,0.000000,0.000000,-0.640819,0.000000
0.475000,0.500000,0.915742,0.250000,0.000000,1.115381,0.000000,0.000000,-0.669059,0.000000
0.480000,0.500000,0.921319,0.250000,0.000000,1.111898,0.000000,0.000000,-0.696518,0.000000
0.485000,0.500000,0.926879,0.250000,0.000000,1.108282,0.000000,0.000000,-0.723210,0.000000
0.490000,0.500000,0.932420,0.250000,0.000000,1.104536,0.000000,0.000000,-0.749147,0.000000
0.495000,0.500000,0.937943,0.250000,0.000000,1.100664,0.000000,0.000000,-0.774341,0.000000
0.500000,0.500000,0.943446,0.250000,0.000000,1.096670,0.000000,0.000000,-0.798805,0.000000
0.505000,0.500000,0.948929,0.250000,0.000000,1.092558,0.000000,0.000000,-0.822550,0.000000
0.510000,0.500000,0.954392,0.250000,0.000000,1.088330,0.000000,0.000000,-0.845590,0.000000
0.515000,0.500000,0.959834,0.250000,0.000000,1.083990,0.000000,0.000000,-0.867935,0.000000
0.520000,0.500000,0.965254,0.250000,0.000000,1.079542,0.000000,0.000000,-0.889598,0.000000
0.525000,0.500000,0.970651,0.250000,0.000000,1.074989,0.000000,0.000000,-0.910589,0.000000
0.530000,0.500000,0.976026,0.250000,0.000000,1.070335,0.000000,0.000000,-0.930922,0.000000
0.535000,0.500000,0.981378,0.250000,0.000000,1.065582,0.000000,0.000000,-0.950605,0.000000
0.540000,0.500000,0.986706,0.250000,0.000000,1.060733,0.000000,0.000000,-0.969652,0.000000
0.545000,0.500000,0.992010,0.250000,0.000000,1.055793,0.000000,0.000000,-0.988073,0.000000
0.550000,0.500000,0.997289,0.250000,0.000000,1.050763,0.000000,0.000000,-1.005879,0.000000
0.555000,0.500000,1.002542,0.250000,0.000000,1.045648,0.000000,0.000000,-1.023080,0.000000
0.560000,0.500000,1.007771,0.250000,0.000000,1.040450,0.000000,0.000000,-1.039688,0.000000
0.565000,0.500000,1.012973,0.250000,0.000000,1.035171,0.000000,0.000000,-1.055712,0.000000
0.570000,0.500000,1.018149,0.250000,0.000000,1.029815,0.000000,0.000000,-1.071164,0.000000
0.575000,0.500000,1.023298,0.250000,0.000000,1.024385,0.000000,0.000000,-1.086053,0.000000
0.580000,0.500000,1.028420,0.250000,0.000000,1.018883,0.000000,0.000000,-1.100390,0.000000
0.585000,0.500000,1.033514,0.250000,0.000000,1.013312,0.000000,0.000000,-1.114184,0.000000
0.590000,0.500000,1.038581,0.250000,0.000000,1.007675,0.000000,0.000000,-1.127446,0.000000
0.595000,0.500000,1.043619,0.250000,0.000000,1.001974,0.000000,0.000000,-1.140184,0.000000
0.600000,0.500000,1.048629,0.250000,0.000000,0.996212,0.000000,0.000000,-1.152410,0.000000
0.605000,0.500000,1.053610,0.250000,0.000000,0.990391,0.000000,0.000000,-1.164132,0.000000
0.610000,0.500000,1.058562,0.250000,0.000000,0.984514,0.000000,0.000000,-1.175359,0.000000
0.615000,0.500000,1.063484,0.250000,0.000000,0.978584,0.000000,0.000000,-1.186101,0.000000
0.620000,0.500000,1.068377,0.250000,0.000000,0.972602,0.000000,0.000000,-1.196368,0.000000
0.625000,0.500000,1.073240,0.250000,0.000000,0.966571,0.000000,0.000000,-1.206167,0.000000
0.630000,0.500000,1.078073,0.250000,0.000000,0.960494,0.000000,0.000000,-1.215508,0.000000
0.635000,0.500000,1.082876,0.250000,0.000000,0.954372,0.000000,0.000000,-1.224400,0.000000
0.640000,0.500000,1.087648,0.250000,0.000000,0.948207,0.000000,0.000000,-1.232851,0.000000
0.645000,0.500000,1.092389,0.250000,0.000000,0.942003,0.000000,0.000000,-1.240870,0.000000
0.650000,0.500000,1.097099,0.250000,0.000000,0.935761,0.000000,0.000000,-1.248466,0.000000
0.655000,0.500000,1.101777,0.250000,0.000000,0.929483,0.000000,0.000000,-1.255646,0.000000
0.660000,0.500000,1.106425,0.250000,0.000000,0.923170,0.000000,0.000000,-1.262419,0.000000
0.665000,0.500000,1.111041,0.250000,0.000000,0.916827,0.000000,0.000000,-1.268793,0.000000
0.670000,0.500000,1.115625,0.250000,0.000000,0.910453,0.000000,0.000000,-1.274775,0.000000
0.675000,0.500000,1.120177,0.250000,0.000000,0.904051,0.000000,0.000000,-1.280375,0.000000
0.680000,0.500000,1.124697,0.250000,0.000000,0.897623,0.000000,0.000000,-1.285599,0.000000
0.685000,0.500000,1.129185,0.250000,0.000000,0.891171,0.000000,0.000000,-1.290455,0.000000
0.690000,0.500000,1.133641,0.250000,0.000000,0.884696,0.000000,0.000000,-1.294951,0.000000
0.695000,0.500000,1.138065,0.250000,0.000000,0.878200,0.000000,0.000000,-1.299094,0.000000
0.700000,0.500000,1.142456,0.250000,0.000000,0.871686,0.000000,0.000000,-1.302892,0.000000
0.705000,0.500000,1.146814,0.250000,0.000000,0.865154,0.000000,0.000000,-1.306352,0.000000
0.710000,0.500000,1.151140,0.250000,0.000000,0.858607,0.000000,0.000000,-1.309480,0.000000
0.715000,0.500000,1.155433,0.250000,0.000000,0.852045,0.000000,0.000000,-1.312285,0.000000
0.720000,0.500000,1.159693,0.250000,0.000000,0.845471,0.000000,0.000000,-1.314773,0.000000
0.725000,0.500000,1.163921,0.250000,0.000000,0.838887,0.000000,0.000000,-1.316950,0.000000
0.730000,0.500000,1.168115,0.250000,0.000000,0.832293,0.000000,0.000000,-1.318823,0.000000
0.735000,0.500000,1.172277,0.250000,0.000000,0.825691,0.000000,0.000000,-1.320400,0.000000
0.740000,0.500000,1.176405,0.250000,0.000000,0.819082,0.000000,0.000000,-1.321687,0.000000
0.745000,0.500000,1.180500,0.250000,0.000000,0.812469,0.000000,0.000000,-1.322690,0.000000
0.750000,0.500000,1.184563,0.250000,0.000000,0.805852,0.000000,0.000000,-1.323415,0.000000
0.755000,0.500000,1.188592,0.250000,0.000000,0.799232,0.000000,0.000000,-1.323869,0.000000
0.760000,0.500000,1.192588,0.250000,0.000000,0.792612,0.000000,0.000000,-1.324058,0.000000
0.765000,0.500000,1.196551,0.250000,0.000000,0.785992,0.000000,0.000000,-1.323987,0.000000
0.770000,0.500000,1.200481,0.250000,0.000000,0.779374,0.000000,0.000000,-1.323664,0.000000
0.775000,0.500000,1.204378,0.250000,0.000000,0.772758,0.000000,0.000000,-1.323094,0.000000
0.780000,0.500000,1.208242,0.250000,0.000000,0.766147,0.000000,0.000000,-1.322283,0.000000
0.785000,0.500000,1.212073,0.250000,0.000000,0.759541,0.000000,0.000000,-1.321236,0.000000
0.790000,0.500000,1.215870,0.250000,0.000000,0.752941,0.000000,0.000000,-1.319959,0.000000
0.795000,0.500000,1.219635,0.250000,0.000000,0.746349,0.000000,0.000000,-1.318457,0.000000
0.800000,0.500000,1.223367,0.250000,0.000000,0.739765,0.000000,0.000000,-1.316737,0.000000
0.805000,0.500000,1.227066,0.250000,0.000000,0.733191,0.000000,0.000000,-1.314803,0.000000
0.810000,0.500000,1.230732,0.250000,0.000000,0.726628,0.000000,0.000000,-1.312661,0.000000
0.815000,0.500000,1.234365,0.250000,0.000000,0.720076,0.000000,0.000000,-1.310316,0.000000
0.820000,0.500000,1.237965,0.250000,0.000000,0.713537,0.000000,0.000000,-1.307774,0.000000
0.825000,0.500000,1.241533,0.250000,0.000000,0.707012,0.000000,0.000000,-1.305038,0.000000
0.830000,0.500000,1.245068,0.250000,0.000000,0.700501,0.000000,0.000000,-1.302114,0.000000
0.835000,0.500000,1.248570,0.250000,0.000000,0.694006,0.000000,0.000000,-1.299008,0.000000
0.840000,0.500000,1.252040,0.250000,0.000000,0.687528,0.000000,0.000000,-1.295723,0.000000
0.845000,0.500000,1.255478,0.250000,0.000000,0.681066,0.000000,0.000000,-1.292266,0.000000
0.850000,0.500000,1.258883,0.250000,0.000000,0.674623,0.000000,0.000000,-1.288639,0.000000
0.855000,0.500000,1.262256,0.250000,0.000000,0.668199,0.000000,0.000000,-1.284848,0.000000
0.860000,0.500000,1.265597,0.250000,0.000000,0.661794,0.000000,0.000000,-1.280898,0.000000
0.865000,0.500000,1.268906,0.250000,0.000000,0.655410,0.000000,0.000000,-1.276792,0.000000
0.870000,0.500000,1.272183,0.250000,0.000000,0.649048,0.000000,0.000000,-1.272536,0.000000
0.875000,0.500000,1.275429,0.250000,0.000000,0.642707,0.000000,0.000000,-1.268133,0.000000
0.880000,0.500000,1.278642,0.250000,0.000000,0.636389,0.000000,0.000000,-1.263588,0.000000
0.885000,0.500000,1.281824,0.250000,0.000000,0.630095,0.000000,0.000000,-1.258905,0.000000
0.890000,0.500000,1.284975,0.250000,0.000000,0.623824,0.000000,0.000000,-1.254087,0.000000
0.895000,0.500000,1.288094,0.250000,0.000000,0.617578,0.000000,0.000000,-1.249140,0.000000
0.900000,0.500000,1.291182,0.250000,0.000000,0.611358,0.000000,0.000000,-1.244067,0.000000
0.905000,0.500000,1.294238,0.250000,0.000000,0.605164,0.000000,0.000000,-1.238871,0.000000
0.910000,0.500000,1.297264,0.250000,0.000000,0.598996,0.000000,0.000000,-1.233558,0.000000
0.915000,0.500000,1.300259,0.250000,0.000000,0.592855,0.000000,0.000000,-1.228129,0.000000
0.920000,0.500000,1.303223,0.250000,0.000000,0.586742,0.000000,0.000000,-1.222590,0.000000
0.925000,0.500000,1.306157,0.250000,0.000000,0.580658,0.000000,0.000000,-1.216943,0.000000
0.930000,0.500000,1.309060,0.250000,0.000000,0.574602,0.000000,0.000000,-1.211193,0.000000
0.935000,0.500000,1.311933,0.250000,0.000000,0.568575,0.000000,0.000000,-1.205342,0.000000
0.940000,0.500000,1.314776,0.250000,0.000000,0.562578,0.000000,0.000000,-1.199395,0.000000
0.945000,0.500000,1.317589,0.250000,0.000000,0.556611,0.000000,0.000000,-1.193354,0.000000
0.950000,0.500000,1.320372,0.250000,0.000000,0.550675,0.000000,0.000000,-1.187224,0.000000
0.955000,0.500000,1.323126,0.250000,0.000000,0.544770,0.000000,0.000000,-1.181006,0.000000
0.960000,0.500000,1.325850,0.250000,0.000000,0.538897,0.000000,0.000000,-1.174705,0.000000
0.965000,0.500000,1.328544,0.250000,0.000000,0.533055,0.000000,0.000000,-1.168323,0.000000
0.970000,0.500000,1.331209,0.250000,0.000000,0.527246,0.000000,0.000000,-1.161864,0.000000
0.975000,0.500000,1.333846,0.250000,0.000000,0.521469,0.000000,0.000000,-1.155330,0.000000
0.980000,0.500000,1.336453,0.250000,0.000000,0.515725,0.000000,0.000000,-1.148725,0.000000
0.985000,0.500000,1.339031,0.250000,0.000000,0.510015,0.000000,0.000000,-1.142052,0.000000
0.990000,0.500000,1.341582,0.250000,0.000000,0.504339,0.000000,0.000000,-1.135313,0.000000
0.995000,0.500000,1.344103,0.250000,0.000000,0.498696,0.000000,0.000000,-1.128511,0.000000
1.000000,0.500000,1.346597,0.250000,0.000000,0.493088,0.000000,0.000000,-1.121649,0.000000
1.005000,0.500000,1.349062,0.250000,0.000000,0.487514,0.000000,0.000000,-1.114730,0.000000
1.010000,0.500000,1.351500,0.250000,0.000000,0.481975,0.000000,0.000000,-1.107756,0.000000
1.015000,0.500000,1.353910,0.250000,0.000000,0.476472,0.000000,0.000000,-1.100729,0.000000
1.020000,0.500000,1.356292,0.250000,0.000000,0.471003,0.000000,0.000000,-1.093654,0.000000
1.025000,0.500000,1.358647,0.250000,0.000000,0.465571,0.000000,0.000000,-1.086531,0.000000
1.030000,0.500000,1.360975,0.250000,0.000000,0.460174,0.000000,0.000000,-1.079364,0.000000
1.035000,0.500000,1.363276,0.250000,0.000000,0.454813,0.000000,0.000000,-1.072155,0.000000
1.040000,0.500000,1.365550,0.250000,0.000000,0.449489,0.000000,0.000000,-1.064905,0.000000
1.045000,0.500000,1.367797,0.250000,0.000000,0.444201,0.000000,0.000000,-1.057619,0.000000
1.050000,0.500000,1.370018,0.250000,0.000000,0.438949,0.000000,0.000000,-1.050297,0.000000
1.055000,0.500000,1.372213,0.250000,0.000000,0.433734,0.000000,0.000000,-1.042942,0.000000
1.060000,0.500000,1.374382,0.250000,0.000000,0.428557,0.000000,0.000000,-1.035556,0.000000
1.065000,0.500000,1.376524,0.250000,0.000000,0.423416,0.000000,0.000000,-1.028141,0.000000
1.070000,0.500000,1.378642,0.250000,0.000000,0.418312,0.000000,0.000000,-1.020700,0.000000
1.075000,0.500000,1.380733,0.250000,0.000000,0.413246,0.000000,0.000000,-1.013235,0.000000
1.080000,0.500000,1.382799,0.250000,0.000000,0.408217,0.000000,0.000000,-1.005746,0.000000
1.085000,0.500000,1.384840,0.250000,0.000000,0.403226,0.000000,0.000000,-0.998238,0.000000
1.090000,0.500000,1.386857,0.250000,0.000000,0.398273,0.000000,0.000000,-0.990710,0.000000
1.095000,0.500000,1.388848,0.250000,0.000000,0.393357,0.000000,0.000000,-0.983166,0.000000
1.100000,0.500000,1.390815,0.250000,0.000000,0.388479,0.000000,0.000000,-0.975606,0.000000
1.105000,0.500000,1.392757,0.250000,0.000000,0.383639,0.000000,0.000000,-0.968034,0.000000
1.110000,0.500000,1.394675,0.250000,0.000000,0.378836,0.000000,0.000000,-0.960450,0.000000
1.115000,0.500000,1.396569,0.250000,0.000000,0.374072,0.000000,0.000000,-0.952856,0.000000
1.120000,0.500000,1.398440,0.250000,0.000000,0.369346,0.000000,0.000000,-0.945255,0.000000
1.125000,0.500000,1.400287,0.250000,0.000000,0.364658,0.000000,0.000000,-0.937647,0.000000
1.130000,0.500000,1.402110,0.250000,0.000000,0.360007,0.000000,0.000000,-0.930034,0.000000
1.135000,0.500000,1.403910,0.250000,0.000000,0.355395,0.000000,0.000000,-0.922418,0.000000
1.140000,0.500000,1.405687,0.250000,0.000000,0.350821,0.000000,0.000000,-0.914801,0.000000
1.145000,0.500000,1.407441,0.250000,0.000000,0.346285,0.000000,0.000000,-0.907183,0.000000
1.150000,0.500000,1.409172,0.250000,0.000000,0.341788,0.000000,0.000000,-0.899567,0.000000
1.155000,0.500000,1.410881,0.250000,0.000000,0.337328,0.000000,0.000000,-0.891953,0.000000
1.160000,0.500000,1.412568,0.250000,0.000000,0.332906,0.000000,0.000000,-0.884344,0.000000
1.165000,0.500000,1.414232,0.250000,0.000000,0.328522,0.000000,0.000000,-0.876740,0.000000
1.170000,0.500000,1.415875,0.250000,0.000000,0.324177,0.000000,0.000000,-0.869143,0.000000
1.175000,0.500000,1.417496,0.250000,0.000000,0.319869,0.000000,0.000000,-0.861554,0.000000
1.180000,0.500000,1.419095,0.250000,0.000000,0.315599,0.000000,0.000000,-0.853975,0.000000
1.185000,0.500000,1.420673,0.250000,0.000000,0.311367,0.000000,0.000000,-0.846406,0.000000
1.190000,0.500000,1.422230,0.250000,0.000000,0.307173,0.000000,0.000000,-0.838849,0.000000
1.195000,0.500000,1.423766,0.250000,0.000000,0.303016,0.000000,0.000000,-0.831306,0.000000
1.200000,0.500000,1.425281,0.250000,0.000000,0.298897,0.000000,0.000000,-0.823776,0.000000
1.205000,0.500000,1.426776,0.250000,0.000000,0.294816,0.000000,0.000000,-0.816262,0.000000
1.210000,0.500000,1.428250,0.250000,0.000000,0.290772,0.000000,0.000000,-0.808764,0.000000
1.215000,0.500000,1.429704,0.250000,0.000000,0.286766,0.000000,0.000000,-0.801284,0.000000
1.220000,0.500000,1.431137,0.250000,0.000000,0.282797,0.000000,0.000000,-0.793822,0.000000
1.225000,0.500000,1.432551,0.250000,0.000000,0.278865,0.000000,0.000000,-0.786380,0.000000
1.230000,0.500000,1.433946,0.250000,0.000000,0.274970,0.000000,0.000000,-0.778958,0.000000
1.235000,0.500000,1.435321,0.250000,0.000000,0.271112,0.000000,0.000000,-0.771558,0.000000
1.240000,0.500000,1.436676,0.250000,0.000000,0.267291,0.000000,0.000000,-0.764180,0.000000
1.245000,0.500000,1.438013,0.250000,0.000000,0.263507,0.000000,0.000000,-0.756826,0.000000
1.250000,0.500000,1.439330,0.250000,0.000000,0.259760,0.000000,0.000000,-0.749496,0.000000
1.255000,0.500000,1.440629,0.250000,0.000000,0.256049,0.000000,0.000000,-0.742190,0.000000
1.260000,0.500000,1.441909,0.250000,0.000000,0.252374,0.000000,0.000000,-0.734911,0.000000
1.265000,0.500000,1.443171,0.250000,0.000000,0.248736,0.000000,0.000000,-0.727658,0.000000
1.270000,0.500000,1.444415,0.250000,0.000000,0.245134,0.000000,0.000000,-0.720433,0.000000
1.275000,0.500000,1.445640,0.250000,0.000000,0.241568,0.000000,0.000000,-0.713236,0.000000
1.280000,0.500000,1.446848,0.250000,0.000000,0.238037,0.000000,0.000000,-0.706067,0.000000
1.285000,0.500000,1.448038,0.250000,0.000000,0.234543,0.000000,0.000000,-0.698929,0.000000
1.290000,0.500000,1.449211,0.250000,0.000000,0.231084,0.000000,0.000000,-0.691821,0.000000
1.295000,0.500000,1.450366,0.250000,0.000000,0.227660,0.000000,0.000000,-0.684743,0.000000
1.300000,0.500000,1.451505,0.250000,0.000000,0.224271,0.000000,0.000000,-0.677698,0.000000
1.305000,0.500000,1.452626,0.250000,0.000000,0.220918,0.000000,0.000000,-0.670684,0.000000
1.310000,0.500000,1.453731,0.250000,0.000000,0.217599,0.000000,0.000000,-0.663704,0.000000
1.315000,0.500000,1.454819,0.250000,0.000000,0.214316,0.000000,0.000000,-0.656757,0.000000
1.320000,0.500000,1.455890,0.250000,0.000000,0.211066,0.000000,0.000000,-0.649844,0.000000
1.325000,0.500000,1.456946,0.250000,0.000000,0.207852,0.000000,0.000000,-0.642965,0.000000
1.330000,0.500000,1.457985,0.250000,0.000000,0.204671,0.000000,0.000000,-0.636122,0.000000
1.335000,0.500000,1.459008,0.250000,0.000000,0.201524,0.000000,0.000000,-0.629314,0.000000
1.340000,0.500000,1.460016,0.250000,0.000000,0.198412,0.000000,0.000000,-0.622542,0.000000
1.345000,0.500000,1.461008,0.250000,0.000000,0.195333,0.000000,0.000000,-0.615807,0.000000
1.350000,0.500000,1.461985,0.250000,0.000000,0.192287,0.000000,0.000000,-0.609109,0.000000
1.355000,0.500000,1.462946,0.250000,0.000000,0.189275,0.000000,0.000000,-0.602448,0.000000
1.360000,0.500000,1.463892,0.250000,0.000000,0.186296,0.000000,0.000000,-0.595826,0.000000
1.365000,0.500000,1.464824,0.250000,0.000000,0.183350,0.000000,0.000000,-0.589241,0.000000
1.370000,0.500000,1.465741,0.250000,0.000000,0.180436,0.000000,0.000000,-0.582695,0.000000
